,Sent,Received 1 Low,Received 1 High,Received 2 Low,Received 2 High,Received 3 Low,Received 3 High,Received 4 Low,Received 4 High,Received 5 Low,Received 5 High
766,(-0.6708203932499369+0.6708203932499369j),(-0.9901144701133924+0.5534566561784958j),(-0.8624346210280891+0.47866255095532j),(-0.864969471928534+0.40561314298599044j),(-0.9006413565613083+0.30315548586353996j),(-0.9099570885792042+0.04696974497707674j),(-1.0156507144536484-0.02338744524502373j),(-0.915212551911809-0.286695080906709j),(-0.9196433629123283-0.39085408891820594j),(-0.7848916906436927-0.5301060773767029j),(-0.804044741929531-0.4138090635358386j)
767,(-1.118033988749895-0.6708203932499369j),(-0.9240061284753615-0.875078325243867j),(-0.937663166536638-0.9583141276244503j),(-0.7344481219265656-1.0736457571969102j),(-0.702893620262058-1.1308773507415164j),(-0.24852999434159445-1.2201836413650455j),(-0.3277009719346599-1.2594006287294555j),(0.10100066141117015-1.3244882677716747j),(0.12505142481901999-1.332664971572517j),(0.305623105181564-1.2626420179968099j),(0.3898870559776373-1.2575000785073829j)
768,(0.6708203932499369-1.118033988749895j),(1.0542215087612075-0.9565184351530284j),(1.0015967459803172-0.8892969517254753j),(1.0612634316039429-0.6789101563837155j),(1.1031656723409835-0.6836009441610134j),(1.2970173488854113-0.4082423043523095j),(1.2451373705599666-0.3216301843636979j),(1.3602833767231342+0.1934425287228979j),(1.325563749741429+0.1766884286610456j),(1.11643304199196+0.3809979795044703j),(1.2291460533791774+0.3876430314176222j)
769,(0.6708203932499369-1.118033988749895j),(0.9564810834539027-0.9213406131478193j),(0.9663004398115971-0.8652573848567349j),(1.0504462782430233-0.7774902250329895j),(1.050022925450796-0.742383650155215j),(1.4547600129320026-0.47010214210840723j),(1.2290379234847084-0.3390444228457222j),(1.195351160568883+0.12742022526833546j),(1.2883775642598707+0.13981794722469185j),(1.294008296958046+0.4177263207960966j),(1.2631891948573872+0.35532071156345674j)
770,(-0.6708203932499369+0.6708203932499369j),(-0.7367947765645543+0.503526815412187j),(-0.815929424204561+0.436193941495191j),(-1.0309294052693017+0.25214264577143236j),(-0.9397614539711814+0.4040505725795122j),(-0.9818494907413444+0.04290893951038379j),(-0.9992605419934566+0.03536849118998371j),(-1.009096739145836-0.46205220953510007j),(-0.9825871696951523-0.3114106953991604j),(-0.744534534887333-0.5107360386868829j),(-0.8899150551970474-0.4860618601939701j)
771,(0.22360679774997896-1.118033988749895j),(0.5835917339983464-0.9473253873495247j),(0.5069741893524256-0.9904900146670086j),(0.6922168795716293-0.9461371316043445j),(0.6459649823132807-0.828828340158132j),(0.9025748108795401-0.5161092990169794j),(0.8775348593035264-0.5978799369959634j),(1.15808185965267-0.3049910934593266j),(1.0668058158206828-0.24128048613114855j),(1.0827745475507684-0.07580822221400248j),(1.1871275669644257-0.042484977222512155j)
772,(-0.6708203932499369-1.118033988749895j),(-0.2910611123237315-1.2613611833972143j),(-0.36470836681516167-1.2705068767129524j),(-0.17223102846331814-1.277400881880425j),(-0.1619817778957216-1.2234007991554618j),(0.3069683223270748-1.3077525895038762j),(0.3074191874471668-1.287269488547633j),(0.7993972670023186-0.9700147113735256j),(0.74679735309533-1.1331871742123483j),(0.9961486561883761-0.8859065790859801j),(0.9484957475978788-0.9238142294772442j)
773,(0.22360679774997896-0.22360679774997896j),(0.3463471748507378-0.2100940374917779j),(0.3626404991788802-0.2594461461849583j),(0.36048150095617504-0.12801907927322853j),(0.28667333914626597-0.046596239366091j),(0.2158669491294013+0.021709013546169283j),(0.28555654933267116+0.09531565721956843j),(0.2914022085657267+0.0703060830708156j),(0.21539450501561425+0.16121098322108457j),(0.32219845997393476+0.20241479911541269j),(0.26006338594974276+0.21165587178386142j)
774,(0.6708203932499369-0.6708203932499369j),(0.8386081353280522-0.4512607154233038j),(0.8505796927177933-0.5131067508404228j),(0.8645144122458213-0.3772448040226735j),(0.9835579961029188-0.33570366822816033j),(1.0729157749644138-0.08951044173980958j),(0.985268889276382-0.004517232647079981j),(0.8133654405028304+0.38520227433981713j),(0.9221353738020641+0.35656100511902405j),(0.8460428802844034+0.5409153604369968j),(0.8070289432029066+0.5063107555765267j)
775,(0.22360679774997896-0.22360679774997896j),(0.20882083259556877-0.125143546123305j),(0.342790476571575-0.21290810552632772j),(0.26544521013760497-0.11294463958129297j),(0.34027686059821816-0.13718242037209916j),(0.2265892082410389+0.023224112158408184j),(0.2337156494673565-0.04371519154460906j),(0.26954199928223127+0.0657732529146482j),(0.3229412998153299+0.16561503132253966j),(0.2689822439222643+0.012181872658876602j),(0.2558560667357496+0.17146531835456041j)
